FACILITY_ID_NUMBER,FACILITY_NAME,LATITUDE,LONGITUDE,ZONE,REGION,COUNCIL,COMMON FACILITY HEALTH NAME,ALTITUDE,FACILITY TYPE,OWNERSHIP,OPERATING_STATUS
100325-0,BARANGA,-1.68392,34.22873,Lake,Mara,Butiama District Council,Baranga,1257,Dispensary,Public,Operating
100326-8,BARGISH,-3.76085,35.55756,Northern,Manyara,Mbulu District Council,Bargish,,Dispensary,Public,Operating
100327-6,BARIADI,-2.7757,33.99557,Western,Simiyu,Bariadi Town Council,Somanda,1288,Hospital,Public,Operating
100328-4,BARIADI-MAGEREZA,,,Western,Simiyu,Bariadi Town Council,Bariadi Magereza,,Dispensary,Public,Operating
100329-2,BARICK GOLD MINE,,,Western,Shinyanga,Kahama Town Council,Barick Gold Mine,1205,Clinic,Private,Operating
100330-0,BARIKIWA,-9.5,37.9,Southern,Lindi,Liwale District Council,,643,Dispensary,Public,Operating
100331-8,BARJOMOT,-4.38374,35.40241,Northern,Manyara,Hanang District Council,Barjomot,1824,Dispensary,Public,Operating
100332-6,BASANZA,,,Western,Kigoma,Uvinza District Council,,,Dispensary,Public,Operating
100333-4,BASHAY,-3.34605,35.633384,Northern,Arusha,Karatu District Council,Bashay,1540,Dispensary,Faith based organization,Operating
100334-2,BASHAY,-4.00537,35.18884,Northern,Manyara,Mbulu District Council,Bashay,,Dispensary,Faith based organization,Operating
100336-7,BASHNET,-4.21978,35.4209,Northern,Manyara,Babati District Council,Buma,2096,Hospital,Faith based organization,Operating
100338-3,BASSODESH,-4.29842,35.1299,Northern,Manyara,Hanang District Council,,1659,Dispensary,Public,Operating
100339-1,BASSODOWISH,-3.4409,35.67453,Northern,Arusha,Karatu District Council,Bassodowish,1407,Dispensary,Public,Operating
100340-9,BASSOTU ZIWANI,-4.36285,35.0711,Northern,Manyara,Hanang District Council,Basotu,1650,Dispensary,Public,Operating
100341-7,BAUBAB,-6.36399,38.0411,Eastern,Pwani,Bagamoyo District Council,Baobab Disp,58,Dispensary,Private,Operating
100342-5,BAURA,-4.832222,35.889613,Central,Dodoma,Kondoa District Council,,,Dispensary,Public,Operating
100343-3,BEATRICE,-5.0202,32.80632,Western,Tabora,Tabora Municipal Council,,,Dispensary,Private,Operating
100344-1,BELEDI,-3.91533,33.878,Western,Shinyanga,Kishapu District Council,BELEDI,1107,Dispensary,Public,Operating
100345-8,BEMBEZA,-7.26653,38.79718,Eastern,Pwani,Kisarawe District Council,Bembeza,398,Dispensary,Public,Operating
100348-2,BENDERA,-4.59303,38.0581,Northern,Kilimanjaro,Same District Council,Bendera,487,Dispensary,Public,Operating
100350-8,BEREGA,-6.17856,37.145,Eastern,Morogoro,Kilosa District Council,,,Hospital,Faith based organization,Operating
100351-6,BEREGE,-6.46832,36.28938,Central,Dodoma,Mpwapwa District Council,,905,Dispensary,Public,Operating
100352-4,BEREKO,-4.449232,35.74066,Central,Dodoma,Kondoa District Council,,1562,Dispensary,Public,Operating
100354-0,BESHA,,,Northern,Tanga,Tanga City Council,Besha,19,Health Centre,Private,Operating
100355-7,BETHANIA,-1.15964,34.3022,Lake,Mara,Rorya District Council,Bethania,,Dispensary,Private,Operating
